"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","PCSSystemtec_e3:7c:93","52:54:00:12:35:00","ARP","42","Who has 10.0.2.2? Tell 10.0.2.15"
"2","0.000907","52:54:00:12:35:00","PCSSystemtec_e3:7c:93","ARP","64","10.0.2.2 is at 52:54:00:12:35:00"
"3","1.892471","fd17:625c:f037:2:86e2:1afc:8ad3:8e30","2a03:2880:f28a:ce:face:b00c:0:167","TCP","113","58438  >  5222 [PSH, ACK] Seq=1 Ack=1 Win=65535 Len=39 [TCP PDU reassembled in 411]"
"4","1.892838","fd17:625c:f037:2:86e2:1afc:8ad3:8e30","2a03:2880:f28a:ce:face:b00c:0:167","TLSv1.2","113","Application Data"
"5","1.893152","10.0.2.15","163.70.146.60","TLSv1.2","93","Application Data"
"6","1.893234","2a03:2880:f28a:ce:face:b00c:0:167","fd17:625c:f037:2:86e2:1afc:8ad3:8e30","TCP","74","5222  >  58438 [ACK] Seq=1 Ack=40 Win=65535 Len=0"
"7","1.893235","2a03:2880:f28a:ce:face:b00c:0:167","fd17:625c:f037:2:86e2:1afc:8ad3:8e30","TCP","74","443  >  48820 [ACK] Seq=1 Ack=40 Win=65535 Len=0"
"8","1.893851","163.70.146.60","10.0.2.15","TCP","60","443  >  49762 [ACK] Seq=1 Ack=40 Win=65535 Len=0"
"9","1.938988","2a03:2880:f28a:ce:face:b00c:0:167","fd17:625c:f037:2:86e2:1afc:8ad3:8e30","TCP","113","5222  >  58438 [PSH, ACK] Seq=1 Ack=40 Win=65535 Len=39 [TCP PDU reassembled in 414]"
"10","1.945320","2a03:2880:f28a:ce:face:b00c:0:167","fd17:625c:f037:2:86e2:1afc:8ad3:8e30","TLSv1.2","113","Application Data"
"11","1.945321","163.70.146.60","10.0.2.15","TLSv1.2","93","Application Data"
"12","1.945422","fd17:625c:f037:2:86e2:1afc:8ad3:8e30","2a03:2880:f28a:ce:face:b00c:0:167","TCP","74","48820  >  443 [ACK] Seq=40 Ack=40 Win=65535 Len=0"
"13","1.998965","fd17:625c:f037:2:86e2:1afc:8ad3:8e30","2a03:2880:f28a:ce:face:b00c:0:167","TCP","74","58438  >  5222 [ACK] Seq=40 Ack=40 Win=65535 Len=0"
"14","1.999989","10.0.2.15","163.70.146.60","TCP","54","49762  >  443 [ACK] Seq=40 Ack=40 Win=65535 Len=0"
"15","5.120637","10.0.2.15","23.11.38.161","TCP","54","57446  >  80 [ACK] Seq=1 Ack=1 Win=61672 Len=0"
"16","5.121935","23.11.38.161","10.0.2.15","TCP","60","[TCP ACKed unseen segment] 80  >  57446 [ACK] Seq=1 Ack=2 Win=65535 Len=0"
"17","5.973178","10.0.2.15","10.95.98.128","DNS","76","Standard query 0x0971 A web.whatsapp.com"
"18","5.973933","fd17:625c:f037:2:86e2:1afc:8ad3:8e30","2a03:2880:f28a:ce:face:b00c:0:167","TLSv1.2","484","Application Data"
"19","5.974230","fd17:625c:f037:2:86e2:1afc:8ad3:8e30","2a03:2880:f28a:ce:face:b00c:0:167","TLSv1.2","1079","Application Data"
"20","5.974466","fd17:625c:f037:2:86e2:1afc:8ad3:8e30","2a03:2880:f28a:ce:face:b00c:0:167","TCP","1514","48820  >  443 [ACK] Seq=1455 Ack=40 Win=65535 Len=1440 [TCP PDU reassembled in 21]"
"21","5.974517","fd17:625c:f037:2:86e2:1afc:8ad3:8e30","2a03:2880:f28a:ce:face:b00c:0:167","TLSv1.2","433","Application Data"
"22","5.975218","2a03:2880:f28a:ce:face:b00c:0:167","fd17:625c:f037:2:86e2:1afc:8ad3:8e30","TCP","74","443  >  48820 [ACK] Seq=40 Ack=450 Win=65535 Len=0"
"23","5.975219","2a03:2880:f28a:ce:face:b00c:0:167","fd17:625c:f037:2:86e2:1afc:8ad3:8e30","TCP","74","443  >  48820 [ACK] Seq=40 Ack=1455 Win=65535 Len=0"
"24","5.975219","2a03:2880:f28a:ce:face:b00c:0:167","fd17:625c:f037:2:86e2:1afc:8ad3:8e30","TCP","74","443  >  48820 [ACK] Seq=40 Ack=2895 Win=65535 Len=0"
"25","5.975220","2a03:2880:f28a:ce:face:b00c:0:167","fd17:625c:f037:2:86e2:1afc:8ad3:8e30","TCP","74","443  >  48820 [ACK] Seq=40 Ack=3254 Win=65535 Len=0"
"26","5.981383","10.95.98.128","10.0.2.15","DNS","129","Standard query response 0x0971 A web.whatsapp.com CNAME mmx-ds.cdn.whatsapp.net A 163.70.146.60"
"27","5.981756","10.0.2.15","10.95.98.128","DNS","76","Standard query 0x6c4e AAAA web.whatsapp.com"
"28","6.033228","2a03:2880:f28a:ce:face:b00c:0:167","fd17:625c:f037:2:86e2:1afc:8ad3:8e30","TLSv1.2","109","Application Data"
"29","6.033635","fd17:625c:f037:2:86e2:1afc:8ad3:8e30","2a03:2880:f28a:ce:face:b00c:0:167","TCP","74","48820  >  443 [ACK] Seq=3254 Ack=75 Win=65535 Len=0"
"30","6.096895","10.95.98.128","10.0.2.15","DNS","141","Standard query response 0x6c4e AAAA web.whatsapp.com CNAME mmx-ds.cdn.whatsapp.net AAAA 2a03:2880:f28a:ce:face:b00c:0:167"
"31","6.516914","2a03:2880:f28a:ce:face:b00c:0:167","fd17:625c:f037:2:86e2:1afc:8ad3:8e30","TLSv1.2","2708","Application Data, Application Data"
"32","6.517223","fd17:625c:f037:2:86e2:1afc:8ad3:8e30","2a03:2880:f28a:ce:face:b00c:0:167","TCP","74","48820  >  443 [ACK] Seq=3254 Ack=2709 Win=65535 Len=0"
"33","14.041275","fd17:625c:f037:2:86e2:1afc:8ad3:8e30","2a03:2880:f28a:ce:face:b00c:0:167","TLSv1.2","143","Application Data"
"34","14.042209","2a03:2880:f28a:ce:face:b00c:0:167","fd17:625c:f037:2:86e2:1afc:8ad3:8e30","TCP","74","443  >  48826 [ACK] Seq=1 Ack=70 Win=65535 Len=0"
"35","14.658105","2a03:2880:f28a:ce:face:b00c:0:167","fd17:625c:f037:2:86e2:1afc:8ad3:8e30","TLSv1.2","145","Application Data"
"36","14.658301","fd17:625c:f037:2:86e2:1afc:8ad3:8e30","2a03:2880:f28a:ce:face:b00c:0:167","TCP","74","48826  >  443 [ACK] Seq=70 Ack=72 Win=65535 Len=0"
"37","15.361400","10.0.2.15","23.11.38.161","TCP","54","[TCP Dup ACK 15#1] 57446  >  80 [ACK] Seq=1 Ack=1 Win=61672 Len=0"
"38","15.363414","23.11.38.161","10.0.2.15","TCP","60","[TCP Dup ACK 16#1] 80  >  57446 [ACK] Seq=1 Ack=2 Win=65535 Len=0"
