No.,Time,Source,Destination,Protocol,Length,Info,Label
1,0.0,PCSSystemtec_e3:7c:93,52:54:00:12:35:00,ARP,42,Who has 10.0.2.2? Tell 10.0.2.15,0
2,0.000907,52:54:00:12:35:00,PCSSystemtec_e3:7c:93,ARP,64,10.0.2.2 is at 52:54:00:12:35:00,0
3,1.892471,fd17:625c:f037:2:86e2:1afc:8ad3:8e30,2a03:2880:f28a:ce:face:b00c:0:167,TCP,113,"58438  >  5222 [PSH, ACK] Seq=1 Ack=1 Win=65535 Len=39 [TCP PDU reassembled in 411]",0
4,1.892838,fd17:625c:f037:2:86e2:1afc:8ad3:8e30,2a03:2880:f28a:ce:face:b00c:0:167,TLSv1.2,113,Application Data,0
5,1.893152,10.0.2.15,163.70.146.60,TLSv1.2,93,Application Data,0
6,1.893234,2a03:2880:f28a:ce:face:b00c:0:167,fd17:625c:f037:2:86e2:1afc:8ad3:8e30,TCP,74,5222  >  58438 [ACK] Seq=1 Ack=40 Win=65535 Len=0,0
7,1.893235,2a03:2880:f28a:ce:face:b00c:0:167,fd17:625c:f037:2:86e2:1afc:8ad3:8e30,TCP,74,443  >  48820 [ACK] Seq=1 Ack=40 Win=65535 Len=0,1
8,1.893851,163.70.146.60,10.0.2.15,TCP,60,443  >  49762 [ACK] Seq=1 Ack=40 Win=65535 Len=0,1
9,1.938988,2a03:2880:f28a:ce:face:b00c:0:167,fd17:625c:f037:2:86e2:1afc:8ad3:8e30,TCP,113,"5222  >  58438 [PSH, ACK] Seq=1 Ack=40 Win=65535 Len=39 [TCP PDU reassembled in 414]",0
10,1.94532,2a03:2880:f28a:ce:face:b00c:0:167,fd17:625c:f037:2:86e2:1afc:8ad3:8e30,TLSv1.2,113,Application Data,0
11,1.945321,163.70.146.60,10.0.2.15,TLSv1.2,93,Application Data,0
12,1.945422,fd17:625c:f037:2:86e2:1afc:8ad3:8e30,2a03:2880:f28a:ce:face:b00c:0:167,TCP,74,48820  >  443 [ACK] Seq=40 Ack=40 Win=65535 Len=0,1
13,1.998965,fd17:625c:f037:2:86e2:1afc:8ad3:8e30,2a03:2880:f28a:ce:face:b00c:0:167,TCP,74,58438  >  5222 [ACK] Seq=40 Ack=40 Win=65535 Len=0,0
14,1.999989,10.0.2.15,163.70.146.60,TCP,54,49762  >  443 [ACK] Seq=40 Ack=40 Win=65535 Len=0,1
15,5.120637,10.0.2.15,23.11.38.161,TCP,54,57446  >  80 [ACK] Seq=1 Ack=1 Win=61672 Len=0,0
16,5.121935,23.11.38.161,10.0.2.15,TCP,60,[TCP ACKed unseen segment] 80  >  57446 [ACK] Seq=1 Ack=2 Win=65535 Len=0,0
17,5.973178,10.0.2.15,10.95.98.128,DNS,76,Standard query 0x0971 A web.whatsapp.com,0
18,5.973933,fd17:625c:f037:2:86e2:1afc:8ad3:8e30,2a03:2880:f28a:ce:face:b00c:0:167,TLSv1.2,484,Application Data,0
19,5.97423,fd17:625c:f037:2:86e2:1afc:8ad3:8e30,2a03:2880:f28a:ce:face:b00c:0:167,TLSv1.2,1079,Application Data,0
20,5.974466,fd17:625c:f037:2:86e2:1afc:8ad3:8e30,2a03:2880:f28a:ce:face:b00c:0:167,TCP,1514,48820  >  443 [ACK] Seq=1455 Ack=40 Win=65535 Len=1440 [TCP PDU reassembled in 21],1
21,5.974517,fd17:625c:f037:2:86e2:1afc:8ad3:8e30,2a03:2880:f28a:ce:face:b00c:0:167,TLSv1.2,433,Application Data,0
